Date,kurt,skew
2008-01-15,0.0,0.0
2008-01-16,0.0,0.0
2008-01-17,0.0,0.0
2008-01-18,1.0855059556105533,-0.30325291222784023
2008-01-21,-0.011509847568176523,0.0339775124470878
2008-01-22,0.0,0.0
2008-01-23,-0.021804002663620037,0.06604034132164593
2008-01-24,0.0,0.0
2008-01-25,-0.05525949098435401,-0.009847663475049617
2008-01-28,-0.03289842850340707,0.05135002054089144
2008-01-29,0.0021721349032264303,-0.013509226000016472
2008-01-30,0.02037550499467211,0.01021641287177144
2008-01-31,-0.10657194875962028,0.044690923670549276
2008-02-01,-0.005062439958240739,-0.0021755517571855343
2008-02-04,-0.038496181177483435,0.02701733706986076
2008-02-05,-0.09145975093029657,0.04164474654829786
2008-02-11,-0.290182277099299,0.1277945524431996
